Scoring,Performance = -1,Participation = 1,Min Reply = 0,Min Correct = 0,
Question,,,Question 1|MC|16,Score,Final Answer Time,Number of Attempts,First Response,Time
Start Time,,,14:51:59,,,,,
Stop Time,,,14:52:39,,,,,
Correct Answer,,
"#96C56231",,0,A,0,4.50,1,A,4.50
"#1C051108",,0,D,0,4.137,1,D,4.137
"#96C56231",,0,A,0,10.510,1,A,10.510
"#1C051108",,0,D,0,10.909,1,D,10.909
"#96C56231",,0,A,0,11.160,1,A,11.160
"#1C051108",,0,D,0,11.763,1,D,11.763
"#96C56231",,0,A,0,11.950,1,A,11.950
"#96C56231",,0,A,0,14.851,1,A,14.851
"#1C051108",,0,D,0,14.917,1,D,14.917
"#96C56231",,0,A,0,15.530,1,A,15.530
"#1C051108",,0,D,0,15.883,1,D,15.883
"#96C56231",,0,A,0,16.120,1,A,16.120
"#96C56231",,0,A,0,18.760,1,A,18.760
"#1C051108",,0,D,0,18.826,1,D,18.826
"#96C56231",,0,A,0,19.541,1,A,19.541
"#1C051108",,0,D,0,19.590,1,D,19.590
"#1C051108",,0,D,0,27.116,1,D,27.116
"#1C051108",,0,D,0,31.175,1,D,31.175
"#96C56231",,0,A,0,31.480,1,A,31.480
